family	group	width	height	cost_multiplier	stat_multiplier	mask	roles	functions
food/pasture/constructoroutdoor	0	3	3	1	1	111/111/111	bpb/ppp/bbb	dpd/ppp/ddd
health/asylum	0	3	4	1	1	111/111/111/111	bbb/bbb/bxb/ppb	ppp/ppp/ddp/ppp
health/hospital	0	1	3	1	1	1/1/1	b/b/x	p/p/p
health/hospital	0	2	3	2	2	11/11/11	bb/bb/xx	pp/pp/pp
health/hospital	0	3	3	3	3	111/111/111	bbb/bbb/xxx	ppp/ppp/ppp
health/hospital	0	4	3	4	4	1111/1111/1111	bbbb/bbbb/xxxx	pppp/pppp/pppp
health/hospital	0	5	3	5	5	11111/11111/11111	bbbbb/bbbbb/xxxxx	ppppp/ppppp/ppppp
health/hospital	0	1	5	2	2	1/1/1/1/1	x/b/b/b/x	p/p/p/p/p
health/hospital	0	2	5	4	4	11/11/11/11/11	xx/bb/bb/bb/xx	pp/pp/pp/pp/pp
health/hospital	0	3	5	6	6	111/111/111/111/111	xxx/bbb/bbb/bbb/xxx	ppp/ppp/ppp/ppp/ppp
health/hospital	0	4	5	8	8	1111/1111/1111/1111/1111	xxxx/bbbb/bbbb/bbbb/xxxx	pppp/pppp/pppp/pppp/pppp
health/hospital	0	5	5	10	10	11111/11111/11111/11111/11111	xxxxx/bbbbb/bbbbb/bbbbb/xxxxx	ppppp/ppppp/ppppp/ppppp/ppppp
health/physician	0	1	4	1	1	1/1/1/1	b/x/b/b	p/d/p/p
health/physician	0	2	4	2	2	11/11/11/11	bb/xx/bb/bb	pp/dd/pp/pp
health/physician	0	2	6	4	4	11/11/11/11/11/11	bb/xx/bb/xx/bb/bb	pp/dd/pp/dd/pp/pp
health/physician	1	1	1	1	1	1	x	p
health/physician	1	2	1	2	2	11	xb	pp
health/physician	1	3	1	3	3	111	xbb	ppp
health/physician	1	4	1	4	4	1111	xbbb	pppp
health/physician	1	5	1	5	5	11111	bxbbb	ppppp
health/physician	1	6	1	6	6	111111	bbxbbb	pppppp
health/physician	1	7	1	7	7	1111111	bbbxbbb	ppppppp
home/chamber	0	6	7	1	1	111111/111111/111111/111111/111111/111111/111111	bpbbpb/bpbbpb/bpbbpb/bppppb/pppppp/bbppbb/bbrrbb	pppppp/pppppp/pppppp/pppppp/pppppp/pppppp/pppppp
industry/mine	0	3	2	6	2	111/111	bxb/bxb	psp/psp
industry/mine	0	4	2	8	4	1111/1111	bxxb/bxxb	pssp/pssp
industry/mine	0	5	2	10	6	11111/11111	bxxxb/bxxxb	psssp/psssp
industry/mine	0	6	2	12	8	111111/111111	bxxxxb/bxxxxb	pssssp/pssssp
industry/mine	0	7	2	14	10	1111111/1111111	bxxxxxb/bxxxxxb	psssssp/psssssp
industry/mine	0	8	2	16	12	11111111/11111111	bxxxxxxb/bxxxxxxb	pssssssp/pssssssp
industry/mine	0	9	2	18	14	111111111/111111111	bxxxxxxxb/bxxxxxxxb	psssssssp/psssssssp
industry/mine	0	10	2	20	16	1111111111/1111111111	bxxxxxxxxb/bxxxxxxxxb	pssssssssp/pssssssssp
industry/mine	0	11	2	22	18	11111111111/11111111111	bxxxxxxxxxb/bxxxxxxxxxb	psssssssssp/psssssssssp
industry/mine	0	12	2	24	20	111111111111/111111111111	bxxxxxxxxxxb/bxxxxxxxxxxb	pssssssssssp/pssssssssssp
industry/mine	1	1	1	1	1	1	b	p
industry/mine	1	2	1	2	2	11	bx	pw
industry/mine	1	3	1	3	3	111	bxb	pwp
industry/mine	1	4	1	4	4	1111	bxbb	pwpp
industry/mine	1	2	2	4	4	11/11	bx/bb	pw/pp
industry/mine	1	3	2	6	6	111/111	bxb/xbb	pwp/wpp
industry/mine	1	4	2	8	8	1111/1111	bxbb/bbbx	pwpp/pppw
industry/mine	1	5	2	10	10	11111/11111	xbbxb/xbbxb	wppwp/wppwp
industry/mine	1	6	2	12	12	111111/111111	xbbbxb/xbbbxb	wpppwp/wpppwp
industry/mine	1	7	2	14	14	1111111/1111111	xbbbxbb/xbbbxbb	wpppwpp/wpppwpp
industry/refiner	0	2	4	2	2	11/11/11/11	bb/xb/xb/bb	pp/wp/wp/pp
industry/refiner	0	2	5	3	3	11/11/11/11/11	bb/xb/xb/xb/bb	pp/wp/wp/wp/pp
industry/refiner	0	2	7	5	5	11/11/11/11/11/11/11	bb/xb/xb/xb/xb/xb/bb	pp/wp/wp/wp/wp/wp/pp
industry/refiner	0	2	8	6	6	11/11/11/11/11/11/11/11	bb/xb/xb/xb/xb/xb/xb/bb	pp/wp/wp/wp/wp/wp/wp/pp
industry/refiner	0	4	4	4	4	1111/1111/1111/1111	bbbb/xbbx/xbbx/bbbb	pppp/wppw/wppw/pppp
industry/refiner	0	4	5	6	6	1111/1111/1111/1111/1111	bbbb/xbbx/xbbx/xbbx/bbbb	pppp/wppw/wppw/wppw/pppp
industry/refiner	0	4	7	10	10	1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/xbbx/xbbx/xbbx/xbbx/bbbb	pppp/wppw/wppw/wppw/wppw/wppw/pppp
industry/refiner	0	4	8	12	12	1111/1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/xbbx/xbbx/xbbx/xbbx/xbbx/bbbb	pppp/wppw/wppw/wppw/wppw/wppw/wppw/pppp
industry/refiner	1	4	1	2	2	1111	bxxb	pppp
industry/refiner	1	5	1	3	3	11111	bxxxb	ppppp
industry/refiner	1	6	1	4	4	111111	bxxxxb	pppppp
industry/refiner	1	7	1	5	5	1111111	bxxxxxb	ppppppp
industry/refiner	1	8	1	6	6	11111111	bxxxxxxb	pppppppp
industry/refiner	1	9	1	7	7	111111111	bxxxxxxxb	ppppppppp
industry/refiner	1	4	2	4	4	1111/1111	bxxb/bxxb	pppp/pppp
industry/refiner	1	5	2	6	6	11111/11111	bxxxb/bxxxb	ppppp/ppppp
industry/refiner	1	6	2	8	8	111111/111111	bxxxxb/bxxxxb	pppppp/pppppp
industry/refiner	1	7	2	10	10	1111111/1111111	bxxxxxb/bxxxxxb	ppppppp/ppppppp
industry/refiner	1	8	2	12	12	11111111/11111111	bxxxxxxb/bxxxxxxb	pppppppp/pppppppp
industry/refiner	1	9	2	14	14	111111111/111111111	bxxxxxxxb/bxxxxxxxb	ppppppppp/ppppppppp
industry/refiner	2	3	1	3	3	111	bbb	ppp
industry/refiner	2	4	1	4	4	1111	bbbb	pppp
industry/refiner	2	4	2	8	8	1111/1111	bbbb/bbbb	pppp/pppp
industry/refiner	2	5	2	10	10	11111/11111	bbbbb/bbbbb	ppppp/ppppp
industry/refiner	2	3	4	12	12	111/111/111/111	bbb/bbb/bbb/bbb	ppp/ppp/ppp/ppp
industry/woodcutter	0	2	2	6	2	11/11	xb/xb	sp/sp
industry/woodcutter	0	3	2	8	4	111/111	xxb/xxb	ssp/ssp
industry/woodcutter	0	4	2	10	6	1111/1111	xxxb/xxxb	sssp/sssp
industry/woodcutter	0	5	2	12	8	11111/11111	xxxxb/xxxxb	ssssp/ssssp
industry/woodcutter	0	6	2	14	10	111111/111111	xxxxxb/xxxxxb	sssssp/sssssp
industry/woodcutter	0	7	2	16	12	1111111/1111111	xxxxxxb/xxxxxxb	ssssssp/ssssssp
industry/woodcutter	0	8	2	18	14	11111111/11111111	xxxxxxxb/xxxxxxxb	sssssssp/sssssssp
industry/woodcutter	0	9	2	20	16	111111111/111111111	xxxxxxxxb/xxxxxxxxb	ssssssssp/ssssssssp
industry/woodcutter	0	10	2	22	18	1111111111/1111111111	xxxxxxxxxb/xxxxxxxxxb	sssssssssp/sssssssssp
industry/woodcutter	0	11	2	24	20	11111111111/11111111111	xxxxxxxxxxb/xxxxxxxxxxb	ssssssssssp/ssssssssssp
industry/woodcutter	1	1	1	1	1	1	b	p
industry/woodcutter	1	2	1	2	2	11	bx	pw
industry/woodcutter	1	3	1	3	3	111	bxb	pwp
industry/woodcutter	1	4	1	4	4	1111	bxbb	pwpp
industry/woodcutter	1	2	2	4	4	11/11	bx/bb	pw/pp
industry/woodcutter	1	3	2	6	6	111/111	bxb/xbb	pwp/wpp
industry/woodcutter	1	4	2	8	8	1111/1111	bxbb/bbbx	pwpp/pppw
industry/woodcutter	1	5	2	10	10	11111/11111	xbbxb/xbbxb	wppwp/wppwp
industry/woodcutter	1	6	2	12	12	111111/111111	xbbbxb/xbbbxb	wpppwp/wpppwp
industry/woodcutter	1	7	2	14	14	1111111/1111111	xbbbxbb/xbbbxbb	wpppwpp/wpppwpp
industry/workshop	1	3	2	2	2	111/111	xbb/pxb	wwp/ppp
industry/workshop	1	4	2	3	3	1111/1111	bxbb/xpxb	wwwp/pppp
industry/workshop	1	6	2	5	5	111111/111111	bxbbbx/xpxbxp	wwwpww/pppppp
industry/workshop	1	7	2	6	6	1111111/1111111	bxbbbxb/xpxbxpx	wwwpwww/ppppppp
industry/workshop	1	10	2	8	8	1111111111/1111111111	bxbbbxbbbx/xpxbxpxbxp	wwwpwwwpww/pppppppppp
industry/workshop	1	11	2	9	9	11111111111/11111111111	bxbbbxbbbxb/xpxbxpxbxpx	wwwpwwwpwww/ppppppppppp
industry/workshop	1	14	2	11	11	11111111111111/11111111111111	bxbbbxbbbxbbbx/xpxbxpxbxpxbxp	wwwpwwwpwwwpww/pppppppppppppp
industry/workshop	1	15	2	12	12	111111111111111/111111111111111	bxbbbxbbbxbbbxb/xpxbxpxbxpxbxpx	wwwpwwwpwwwpwww/ppppppppppppppp
industry/workshop	1	4	3	4	4	1111/1111/1111	bbbb/xbbx/pxxp	pppp/pwwp/pwwp
industry/workshop	1	4	4	6	6	1111/1111/1111/1111	bbbb/xbbx/pxxp/xbbx	pppp/pwwp/pwwp/pwwp
industry/workshop	1	4	7	10	10	1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp	pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp
industry/workshop	1	4	8	12	12	1111/1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp/xbbx	pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp/pwwp
industry/workshop	1	4	11	14	14	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp	pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp
industry/workshop	1	4	12	16	16	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp/xbbx/bbbb/xbbx/pxxp/xbbx	pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp/pwwp/pppp/pwwp/pwwp/pwwp
industry/workshop	2	1	1	1	1	1	b	p
industry/workshop	2	2	1	2	2	11	bb	pp
industry/workshop	2	3	1	3	3	111	bbb	ppp
industry/workshop	2	4	1	4	4	1111	bbbb	pppp
industry/workshop	2	5	1	5	5	11111	bbbbb	ppppp
industry/workshop	2	6	1	6	6	111111	bbbbbb	pppppp
industry/workshop	2	2	2	4	4	11/11	bb/bb	pp/pp
industry/workshop	2	2	3	6	6	11/11/11	bb/bb/bb	pp/pp/pp
industry/workshop	2	2	4	8	8	11/11/11/11	bb/bb/bb/bb	pp/pp/pp/pp
industry/workshop	2	2	5	10	10	11/11/11/11/11	bb/bb/bb/bb/bb	pp/pp/pp/pp/pp
industry/workshop	2	2	6	12	12	11/11/11/11/11/11	bb/bb/bb/bb/bb/bb	pp/pp/pp/pp/pp/pp
infra/admin	0	3	3	1	1	111/111/111	bbb/bbb/pxp	ppp/ppp/ppp
infra/admin	0	4	3	2	2	1111/1111/1111	bbbb/bbbb/pxxp	pppp/pppp/pppp
infra/admin	0	5	3	3	3	11111/11111/11111	bbbbb/bbbbb/pxxxp	ppppp/ppppp/ppppp
infra/admin	0	6	3	4	4	111111/111111/111111	bbbbbb/bbbbbb/pxxxxp	pppppp/pppppp/pppppp
infra/admin	0	7	3	5	5	1111111/1111111/1111111	bbbbbbb/bbbbbbb/pxxxxxp	ppppppp/ppppppp/ppppppp
infra/admin	0	8	3	6	6	11111111/11111111/11111111	bbbbbbbb/bbbbbbbb/pxxxxxxp	pppppppp/pppppppp/pppppppp
infra/admin	0	9	3	7	7	111111111/111111111/111111111	bbbbbbbbb/bbbbbbbbb/pxxxxxxxp	ppppppppp/ppppppppp/ppppppppp
infra/admin	0	3	5	2	2	111/111/111/111/111	pxp/bbb/bbb/bbb/pxp	ppp/ppp/ppp/ppp/ppp
infra/admin	0	4	5	4	4	1111/1111/1111/1111/1111	pxxp/bbbb/bbbb/bbbb/pxxp	pppp/pppp/pppp/pppp/pppp
infra/admin	0	5	5	6	6	11111/11111/11111/11111/11111	pxxxp/bbbbb/bbbbb/bbbbb/pxxxp	ppppp/ppppp/ppppp/ppppp/ppppp
infra/admin	0	6	5	8	8	111111/111111/111111/111111/111111	pxxxxp/bbbbbb/bbbbbb/bbbbbb/pxxxxp	pppppp/pppppp/pppppp/pppppp/pppppp
infra/admin	0	7	5	10	10	1111111/1111111/1111111/1111111/1111111	pxxxxxp/bbbbbbb/bbbbbbb/bbbbbbb/pxxxxxp	ppppppp/ppppppp/ppppppp/ppppppp/ppppppp
infra/admin	0	8	5	12	12	11111111/11111111/11111111/11111111/11111111	pxxxxxxp/bbbbbbbb/bbbbbbbb/bbbbbbbb/pxxxxxxp	pppppppp/pppppppp/pppppppp/pppppppp/pppppppp
infra/admin	0	9	5	14	14	111111111/111111111/111111111/111111111/111111111	pxxxxxxxp/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/pxxxxxxxp	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
infra/admin	1	2	1	1	1	11	bx	pp
infra/admin	1	3	1	2	2	111	bxx	ppp
infra/admin	1	4	1	3	3	1111	bxxx	pppp
infra/admin	1	5	1	4	4	11111	bxxxx	ppppp
infra/admin	1	6	1	5	5	111111	bxxxxx	pppppp
infra/admin	1	2	2	2	2	11/11	bx/bx	pp/pp
infra/admin	1	3	2	4	4	111/111	bxx/bxx	ppp/ppp
infra/admin	1	4	2	6	6	1111/1111	bxxx/bxxx	pppp/pppp
infra/admin	1	5	2	8	8	11111/11111	bxxxx/bxxxx	ppppp/ppppp
infra/admin	1	6	2	10	10	111111/111111	bxxxxx/bxxxxx	pppppp/pppppp
infra/bench	0	1	1	1	1	1	x	p
infra/bench	0	2	1	2	2	11	xx	pp
infra/bench	0	3	1	3	3	111	xxx	ppp
infra/bench	0	4	1	4	4	1111	xxxx	pppp
infra/bench	0	5	1	5	5	11111	xxxxx	ppppp
infra/bench	0	6	1	6	6	111111	xxxxxx	pppppp
infra/bench	0	7	1	7	7	1111111	xxxxxxx	ppppppp
infra/bench	0	8	1	8	8	11111111	xxxxxxxx	pppppppp
infra/builder	0	1	1	0	0	1	b	p
infra/elderly	0	3	1	1	1	111	bxb	ppp
infra/elderly	0	4	1	2	2	1111	bxxb	pppp
infra/elderly	0	5	1	3	3	11111	bxxxb	ppppp
infra/elderly	0	6	1	4	4	111111	bxxxxb	pppppp
infra/elderly	0	7	1	5	5	1111111	bxxxxxb	ppppppp
infra/elderly	0	3	4	6	6	111/111/111/111	pxp/bbb/bbb/pxp	ppp/ppp/ppp/ppp
infra/elderly	0	4	4	10	10	1111/1111/1111/1111	pxxp/bbbb/bbbb/pxxp	pppp/pppp/pppp/pppp
infra/elderly	0	5	4	14	14	11111/11111/11111/11111	pxxxp/bbbbb/bbbbb/pxxxp	ppppp/ppppp/ppppp/ppppp
infra/elderly	0	6	4	18	18	111111/111111/111111/111111	pxxxxp/bbbbbb/bbbbbb/pxxxxp	pppppp/pppppp/pppppp/pppppp
infra/elderly	0	7	4	22	22	1111111/1111111/1111111/1111111	pxxxxxp/bbbbbbb/bbbbbbb/pxxxxxp	ppppppp/ppppppp/ppppppp/ppppppp
infra/elderly	1	2	2	4	4	11/11	bb/bb	pp/pp
infra/elderly	1	3	2	6	6	111/111	bbb/bbb	ppp/ppp
infra/elderly	1	3	3	9	9	111/111/111	bbb/bbb/bbb	ppp/ppp/ppp
infra/elderly	1	4	4	16	16	1111/1111/1111/1111	bbbb/bbbb/bbbb/bbbb	pppp/pppp/pppp/pppp
infra/elderly	2	2	1	1	1	11	bb	pp
infra/elderly	2	3	1	2	2	111	bbb	ppp
infra/elderly	2	4	1	3	3	1111	bbbb	pppp
infra/elderly	2	5	1	4	4	11111	bbbbb	ppppp
infra/elderly	2	6	1	5	5	111111	bbbbbb	pppppp
infra/elderly	2	7	1	6	6	1111111	bbbbbbb	ppppppp
infra/embassy	0	3	2	1	1	111/111	bxb/bbb	ppp/ppp
infra/embassy	0	4	2	2	2	1111/1111	bxxb/bbbb	pppp/pppp
infra/embassy	0	5	2	3	3	11111/11111	bxxxb/bbbbb	ppppp/ppppp
infra/embassy	0	6	2	4	4	111111/111111	bxxxxb/bbbbbb	pppppp/pppppp
infra/embassy	0	7	2	5	5	1111111/1111111	bxxxxxb/bbbbbbb	ppppppp/ppppppp
infra/embassy	0	3	4	2	2	111/111/111/111	bxb/bbb/bbb/bxb	ppp/ppp/ppp/ppp
infra/embassy	0	4	4	4	4	1111/1111/1111/1111	bxxb/bbbb/bbbb/bxxb	pppp/pppp/pppp/pppp
infra/embassy	0	5	4	6	6	11111/11111/11111/11111	bxxxb/bbbbb/bbbbb/bxxxb	ppppp/ppppp/ppppp/ppppp
infra/embassy	0	6	4	8	8	111111/111111/111111/111111	bxxxxb/bbbbbb/bbbbbb/bxxxxb	pppppp/pppppp/pppppp/pppppp
infra/embassy	0	7	4	10	10	1111111/1111111/1111111/1111111	bxxxxxb/bbbbbbb/bbbbbbb/bxxxxxb	ppppppp/ppppppp/ppppppp/ppppppp
infra/embassy	1	2	1	1	1	11	bb	pp
infra/embassy	1	3	1	2	2	111	bbb	ppp
infra/embassy	1	4	1	3	3	1111	bbbb	pppp
infra/embassy	1	6	1	4	4	111111	bbbbbb	pppppp
infra/embassy	1	2	2	2	2	11/11	bb/bb	pp/pp
infra/embassy	1	3	2	4	4	111/111	bbb/bbb	ppp/ppp
infra/embassy	1	4	2	6	6	1111/1111	bbbb/bbbb	pppp/pppp
infra/embassy	1	5	2	8	8	11111/11111	bbbbb/bbbbb	ppppp/ppppp
infra/embassy	1	6	2	10	10	111111/111111	bbbbbb/bbbbbb	pppppp/pppppp
infra/export	0	5	5	6	6	11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/psdsp/ppppp
infra/export	0	5	6	8	8	11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	5	7	10	10	11111/11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	5	8	12	12	11111/11111/11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	5	9	14	14	11111/11111/11111/11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/pspsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	5	10	16	16	11111/11111/11111/11111/11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/pspsp/pspsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	5	11	18	18	11111/11111/11111/11111/11111/11111/11111/11111/11111/11111/11111	ppppp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/pxbxp/ppppp	ppppp/psdsp/pspsp/pspsp/pspsp/pspsp/pspsp/pspsp/pspsp/psdsp/ppppp
infra/export	0	9	11	40	40	111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111	ppppppppp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/pxbxpxbxp/ppppppppp	ppppppppp/psdspsdsp/pspspspsp/pspspspsp/pspspspsp/pspspspsp/pspspspsp/pspspspsp/pspspspsp/psdspsdsp/ppppppppp
infra/export	0	13	11	60	60	1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111/1111111111111	ppppppppppppp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/pxbxpxbxpxbxp/ppppppppppppp	ppppppppppppp/psdspsdspsdsp/pspspspspspsp/pspspspspspsp/pspspspspspsp/pspspspspspsp/pspspspspspsp/pspspspspspsp/pspspspspspsp/psdspsdspsdsp/ppppppppppppp
infra/gate	0	1	2	1	1	1/1	p/p	p/p
infra/gate	0	1	3	1.5	1.5	1/1/1	p/p/p	p/p/p
infra/gate	0	1	4	2	2	1/1/1/1	p/p/p/p	p/p/p/p
infra/gate	0	2	5	6	6	11/11/11/11/11	pp/pp/pp/pp/pp	pp/pp/pp/pp/pp
infra/gate	0	2	6	8	8	11/11/11/11/11/11	pp/pp/pp/pp/pp/pp	pp/pp/pp/pp/pp/pp
